source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230829_MS128_APO_OalgTipvTrunk_A1_04.msf	20230829_MS128_APO_OalgTipvTrunk_A1_04.msf	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_A1_04.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_A1_04.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_A1_04	20230829_MS128_APO_OalgTipvTrunk_A1_04	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_A1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_A1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_A2_50.msf	20230829_MS128_APO_OalgTipvTrunk_A2_50.msf	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_A2_50.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_A2_50.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_A2_50	20230829_MS128_APO_OalgTipvTrunk_A2_50	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_A2_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_A2_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_B1_12.msf	20230829_MS128_APO_OalgTipvTrunk_B1_12.msf	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_B1_12.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_B1_12.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_B1_12	20230829_MS128_APO_OalgTipvTrunk_B1_12	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_B1_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_B1_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_B2_30.msf	20230829_MS128_APO_OalgTipvTrunk_B2_30.msf	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_B2_30.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_B2_30.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_B2_30	20230829_MS128_APO_OalgTipvTrunk_B2_30	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_B2_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_B2_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_C1_36.msf	20230829_MS128_APO_OalgTipvTrunk_C1_36.msf	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_C1_36.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_C1_36.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
20230829_MS128_APO_OalgTipvTrunk_C1_36	20230829_MS128_APO_OalgTipvTrunk_C1_36	marine metagenome	sea water	not applicable	not available	Characterization_of_an_animal_polyhydroxyalkanoate_depolymerase_that_degrades_microbial_PHAs	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	20230829_MS128_APO_OalgTipvTrunk_C1_36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20230829_MS128_APO_OalgTipvTrunk_C1_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
