source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Tf_bazo_2D_spot539_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_bazo_2D_spot539_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_bazo_2D_spot539_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_bazo_2D_spot539_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_bazo_2D_spot533_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_bazo_2D_spot533_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_bazo_2D_spot533_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_bazo_2D_spot533_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_mouse_serum_CD38ko_CIA_1uL_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_mouse_serum_CD38ko_CIA_1uL_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_mouse_serum_CD38ko_CIA_1uL_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_mouse_serum_CD38ko_CIA_1uL_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_bazo_2D_spot536_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_bazo_2D_spot536_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_bazo_2D_spot536_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_bazo_2D_spot536_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_bazo_2D_spot537_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_bazo_2D_spot537_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_bazo_2D_spot537_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_bazo_2D_spot537_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_mouse_serum_CD38ko_noIm_1uL_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_mouse_serum_CD38ko_noIm_1uL_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_mouse_serum_CD38ko_noIm_1uL_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_mouse_serum_CD38ko_noIm_1uL_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_bazo_2D_spot532_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_bazo_2D_spot532_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_bazo_2D_spot532_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_bazo_2D_spot532_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_mouse_serum_WT_CIA_1uL_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_mouse_serum_WT_CIA_1uL_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_mouse_serum_WT_CIA_1uL_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_mouse_serum_WT_CIA_1uL_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
Tf_mouse_serum_WTnoIm_1uL_1-r002	mus musculus	spleen	not applicable	not available	1	Tf_mouse_serum_WTnoIm_1uL_1-r002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6220 time-of-flight lc/ms;AC=MS:1000675	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tf_mouse_serum_WTnoIm_1uL_1-r002.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD003163/Tf_mouse_serum_WTnoIm_1uL_1-r002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	spleen
