path	sample_type_position	rows	action
datasets/PAD000001/PAD000001.sdrf.tsv	8	20	added characteristics[sample type] before sample matrix
datasets/PAD000002/PAD000002.sdrf.tsv	8	136	kept existing characteristics[sample type] column
datasets/PAD000003/PAD000003.sdrf.tsv	9	241	added characteristics[sample type] before sample matrix
datasets/PAD000004/PAD000004.sdrf.tsv	8	192	kept existing characteristics[sample type] column
datasets/PAD000005/PAD000005.sdrf.tsv	8	92	added characteristics[sample type] before sample matrix
datasets/PAD000006/PAD000006.sdrf.tsv	8	92	added characteristics[sample type] before sample matrix
datasets/PAD000008/PAD000008.sdrf.tsv	8	616	added characteristics[sample type] before sample matrix
datasets/PAD000009/PAD000009.sdrf.tsv	8	110	kept existing characteristics[sample type] column
datasets/PAD000010/PAD000010.sdrf.tsv	9	52	kept existing characteristics[sample type] column
datasets/PAD000013/PAD000013.sdrf.tsv	8	62	kept existing characteristics[sample type] column
datasets/PAD000014/PAD000014.sdrf.tsv	9	236	kept existing characteristics[sample type] column
datasets/PAD000016/PAD000016.sdrf.tsv	8	246	kept existing characteristics[sample type] column
datasets/PAD000019/PAD000019.sdrf.tsv	8	124	kept existing characteristics[sample type] column
datasets/PAD000020/PAD000020.sdrf.tsv	8	120	kept existing characteristics[sample type] column
datasets/PAD000021/PAD000021.sdrf.tsv	9	5734	kept existing characteristics[sample type] column
datasets/PAD000022/PAD000022.sdrf.tsv	8	94	added characteristics[sample type] before sample matrix
datasets/PAD000026/PAD000026.sdrf.tsv	9	96	kept existing characteristics[sample type] column
datasets/PAD000030/PAD000030.sdrf.tsv	8	335	added characteristics[sample type] before sample matrix
datasets/PAD000033/PAD000033.sdrf.tsv	8	211	added characteristics[sample type] before sample matrix
datasets/PAD000036/PAD000036.sdrf.tsv	9	847	kept existing characteristics[sample type] column
datasets/PAD000037/PAD000037.sdrf.tsv	8	12	added characteristics[sample type] before sample matrix
datasets/PAD000041/PAD000041.sdrf.tsv	8	434	added characteristics[sample type] before sample matrix
sandbox/PAD000001/PAD000001.sdrf.tsv	8	20	added characteristics[sample type] before sample matrix
sandbox/PAD000002/PAD000002.sdrf.tsv	8	136	kept existing characteristics[sample type] column
sandbox/PAD000003/PAD000003.sdrf.tsv	9	241	added characteristics[sample type] before sample matrix
sandbox/PAD000004/PAD000004.sdrf.tsv	8	192	kept existing characteristics[sample type] column
sandbox/PAD000005/PAD000005.sdrf.tsv	8	92	added characteristics[sample type] before sample matrix
sandbox/PAD000006/PAD000006.sdrf.tsv	8	92	added characteristics[sample type] before sample matrix
sandbox/PAD000008/PAD000008.sdrf.tsv	8	616	added characteristics[sample type] before sample matrix
sandbox/PAD000009/PAD000009.sdrf.tsv	8	110	kept existing characteristics[sample type] column
sandbox/PAD000010/PAD000010.sdrf.tsv	9	52	kept existing characteristics[sample type] column
sandbox/PAD000013/PAD000013.sdrf.tsv	8	62	kept existing characteristics[sample type] column
sandbox/PAD000014/PAD000014.sdrf.tsv	9	236	kept existing characteristics[sample type] column
sandbox/PAD000016/PAD000016.sdrf.tsv	8	246	kept existing characteristics[sample type] column
sandbox/PAD000019/PAD000019.sdrf.tsv	8	124	kept existing characteristics[sample type] column
sandbox/PAD000020/PAD000020.sdrf.tsv	8	120	kept existing characteristics[sample type] column
sandbox/PAD000021/PAD000021.sdrf.tsv	9	5734	kept existing characteristics[sample type] column
sandbox/PAD000022/PAD000022.sdrf.tsv	8	94	added characteristics[sample type] before sample matrix
sandbox/PAD000026/PAD000026.sdrf.tsv	9	96	kept existing characteristics[sample type] column
sandbox/PAD000030/PAD000030.sdrf.tsv	8	335	added characteristics[sample type] before sample matrix
sandbox/PAD000033/PAD000033.sdrf.tsv	8	211	added characteristics[sample type] before sample matrix
sandbox/PAD000036/PAD000036.sdrf.tsv	9	847	kept existing characteristics[sample type] column
sandbox/PAD000037/PAD000037.sdrf.tsv	8	12	added characteristics[sample type] before sample matrix
sandbox/PAD000041/PAD000041.sdrf.tsv	8	434	added characteristics[sample type] before sample matrix
