source name	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20230123_NK_b1_cftw_4-5_DIA	1	Mycobacterium tuberculosis	not available	20230123_NK_b1_cftw_4-5_DIA	proteomic profiling by mass spectrometry	20230123_NK_b1_cftw_4-5_DIA.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20230123_NK_b1_cftw_6-5_DIA	1	Mycobacterium tuberculosis	not available	20230123_NK_b1_cftw_6-5_DIA	proteomic profiling by mass spectrometry	20230123_NK_b1_cftw_6-5_DIA.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20230123_NK_b2_cftw_4-5_DIA	1	Mycobacterium tuberculosis	not available	20230123_NK_b2_cftw_4-5_DIA	proteomic profiling by mass spectrometry	20230123_NK_b2_cftw_4-5_DIA.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20230123_NK_b2_cftw_6-5_DIA	1	Mycobacterium tuberculosis	not available	20230123_NK_b2_cftw_6-5_DIA	proteomic profiling by mass spectrometry	20230123_NK_b2_cftw_6-5_DIA.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20230123_NK_b3_cftw_4-5_DIA	1	Mycobacterium tuberculosis	not available	20230123_NK_b3_cftw_4-5_DIA	proteomic profiling by mass spectrometry	20230123_NK_b3_cftw_4-5_DIA.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20230123_NK_b3_cftw_6-5_DIA	1	Mycobacterium tuberculosis	not available	20230123_NK_b3_cftw_6-5_DIA	proteomic profiling by mass spectrometry	20230123_NK_b3_cftw_6-5_DIA.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
