source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
SH-SY5Y_Control1	Homo sapiens	bone marrow	neuroblastoma	neuroblast (sensu Vertebrata)	cell line	SH-SY5Y	CVCL_0019	SH-SY5Y	bone marrow	4Y	female	European ancestry	not available	not available	not available	not available	not available	not available	not applicable	1	SH-SY5Y_Control1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	28 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	1	1	SH-SY5Y_Control1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Control
SH-SY5Y_Control2	Homo sapiens	bone marrow	neuroblastoma	neuroblast (sensu Vertebrata)	cell line	SH-SY5Y	CVCL_0019	SH-SY5Y	bone marrow	4Y	female	European ancestry	not available	not available	not available	not available	not available	not available	not applicable	2	SH-SY5Y_Control2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	28 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	1	1	SH-SY5Y_Control2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Control
SH-SY5Y_Control3	Homo sapiens	bone marrow	neuroblastoma	neuroblast (sensu Vertebrata)	cell line	SH-SY5Y	CVCL_0019	SH-SY5Y	bone marrow	4Y	female	European ancestry	not available	not available	not available	not available	not available	not available	not applicable	3	SH-SY5Y_Control3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	28 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	1	1	SH-SY5Y_Control3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Control
SH-SY5Y_MPP_treated1	Homo sapiens	bone marrow	neuroblastoma	neuroblast (sensu Vertebrata)	cell line	SH-SY5Y	CVCL_0019	SH-SY5Y	bone marrow	4Y	female	European ancestry	not available	not available	not available	not available	not available	not available	not applicable	1	SH-SY5Y_MPP_treated1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	28 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	1	1	SH-SY5Y_MPP_treated1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	MPP_treated
SH-SY5Y_MPP_treated2	Homo sapiens	bone marrow	neuroblastoma	neuroblast (sensu Vertebrata)	cell line	SH-SY5Y	CVCL_0019	SH-SY5Y	bone marrow	4Y	female	European ancestry	not available	not available	not available	not available	not available	not available	not applicable	2	SH-SY5Y_MPP_treated2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	28 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	1	1	SH-SY5Y_MPP_treated2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	MPP_treated
SH-SY5Y_MPP_treated3	Homo sapiens	bone marrow	neuroblastoma	neuroblast (sensu Vertebrata)	cell line	SH-SY5Y	CVCL_0019	SH-SY5Y	bone marrow	4Y	female	European ancestry	not available	not available	not available	not available	not available	not available	not applicable	3	SH-SY5Y_MPP_treated3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	28 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	1	1	SH-SY5Y_MPP_treated3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	MPP_treated
