source name	characteristics[organism]	characteristics[developmental stage]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[bait]	characteristics[antibody]	characteristics[control]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[data file]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
GFP-IP_WT	Arabidopsis thaliana	not available	seedling	not applicable	not applicable	none	GFP	yes	1	Assay_GFP_WT	proteomic profiling by mass spectrometry	1	20221025_2022G115_e1_20221026195940.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not applicable
GFP-IP_LDL2	Arabidopsis thaliana	not available	seedling	not applicable	not applicable	LDL2	GFP	no	1	Assay_GFP_LDL2	proteomic profiling by mass spectrometry	1	20221025_2022G115_e3.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not applicable
GFP-IP_MBD8	Arabidopsis thaliana	not available	seedling	not applicable	not applicable	MBD8	GFP	no	1	Assay_GFP_MBD8	proteomic profiling by mass spectrometry	1	20221025_2022G115_e2.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not applicable
FLAG-IP_WT	Arabidopsis thaliana	not available	seedling	not applicable	not applicable	none	FLAG	yes	1	Assay_FLAG_WT	proteomic profiling by mass spectrometry	1	20230921_2023G79_e5.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not applicable
FLAG-IP_LDL2	Arabidopsis thaliana	not available	seedling	not applicable	not applicable	LDL2	FLAG	no	1	Assay_FLAG_LDL2	proteomic profiling by mass spectrometry	1	20230921_2023G79_e7.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not applicable
FLAG-IP_MBD8	Arabidopsis thaliana	not available	seedling	not applicable	not applicable	MBD8	FLAG	no	1	Assay_FLAG_MBD8	proteomic profiling by mass spectrometry	1	20230921_2023G79_e6.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not applicable
