source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
PXD071331-sample-1	escherichia coli	not applicable	not applicable	not applicable	not available	1	PXD071331-sample-1-run-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phosphoadenosine;AC=UNIMOD:405;TA=H,K,S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=electron-transfer/higher-energy collision dissociation;AC=MS:1002631	not available	not available	dithiothreitol	iodoacetamide	1	1	250624_Fus_BS_SM_H1000_pos_EThcD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
PXD071331-sample-2	escherichia coli	not applicable	not applicable	not applicable	not available	1	PXD071331-sample-2-run-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phosphoadenosine;AC=UNIMOD:405;TA=H,K,S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=electron-transfer/higher-energy collision dissociation;AC=MS:1002631	not available	not available	dithiothreitol	iodoacetamide	1	1	250624_Fus_BS_SM_H999_neg_EThcD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
