source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf annotation tool]	comment[sdrf version]	comment[sdrf template]
2023_12_05_BS05_WWA8_1ngHeLa_rep2	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	1	2023_12_05_BS05_WWA8_1ngHeLa_rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_05_BS05_WWA8_1ngHeLa_rep2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_05_BS05_WWA8_1ngHeLa_rep2.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	HCD	30% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_04_BS01_DDAtop20_1ngHeLa_rep1	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	2	2023_12_04_BS01_DDAtop20_1ngHeLa_rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_04_BS01_DDAtop20_1ngHeLa_rep1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_04_BS01_DDAtop20_1ngHeLa_rep1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_20_BS04_WWA8_250pgHeLa_rep2	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	3	2023_12_20_BS04_WWA8_250pgHeLa_rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_20_BS04_WWA8_250pgHeLa_rep2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_20_BS04_WWA8_250pgHeLa_rep2.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	HCD	30% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_18_BS04_DDAtop10_250pgHeLa_rep2	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	4	2023_12_18_BS04_DDAtop10_250pgHeLa_rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_18_BS04_DDAtop10_250pgHeLa_rep2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_18_BS04_DDAtop10_250pgHeLa_rep2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_07_BS04_WWA8top20_1ngHeLa_rep1	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	5	2023_12_07_BS04_WWA8top20_1ngHeLa_rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_07_BS04_WWA8top20_1ngHeLa_rep1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_07_BS04_WWA8top20_1ngHeLa_rep1.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	HCD	30% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_14_BS05_V6	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_14_BS05_V6	1	6	2024_02_14_BS05_V6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_14_BS05_V6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_14_BS05_V6.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_20_BS05_WWA8_250pgHeLa_rep3	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	7	2023_12_20_BS05_WWA8_250pgHeLa_rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_20_BS05_WWA8_250pgHeLa_rep3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_20_BS05_WWA8_250pgHeLa_rep3.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	HCD	30% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_14_BS01_V2	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_14_BS01_V2	1	8	2024_02_14_BS01_V2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_14_BS01_V2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_14_BS01_V2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_19_BS01_DDAtop10_250pgHeLa_rep3	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	9	2023_12_19_BS01_DDAtop10_250pgHeLa_rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_19_BS01_DDAtop10_250pgHeLa_rep3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_19_BS01_DDAtop10_250pgHeLa_rep3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_07_BS01_DDAtop20_1ngHeLa_rep4	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	10	2023_12_07_BS01_DDAtop20_1ngHeLa_rep4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_07_BS01_DDAtop20_1ngHeLa_rep4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_07_BS01_DDAtop20_1ngHeLa_rep4.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
