source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[diet]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[treatment]	factor value[organism part]
HFD_ANGII_Sema_411_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	411	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_411_HFD_ANGII_Sema_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_411_HFD_ANGII_Sema_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	blood plasma
HFD_ANGII_Sema_422_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	422	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_422_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_422_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	heart
HFD_ANGII_vehicle_271_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	271	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_271_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_271_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	heart
HFD_ANGII_Pair_409_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	409	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_409_HFD_ANGII_Pair_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_409_HFD_ANGII_Pair_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	blood plasma
Ctrl_SHAM_486_heart	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	486	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_486_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_486_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	heart
HFD_ANGII_Pair_424_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	424	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_424_HFD_ANGII_Pair_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_424_HFD_ANGII_Pair_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	blood plasma
Ctrl_SHAM_484_plasma	Mus musculus	blood plasma	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	484	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_484_Ctrl_SHAM_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_484_Ctrl_SHAM_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	blood plasma
HFD_ANGII_vehicle_208_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	208	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_208_HFD_ANGII_vehicle_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_208_HFD_ANGII_vehicle_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	blood plasma
HFD_ANGII_Pair_405_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	405	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_405_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_405_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	heart
HFD_ANGII_Pair_424_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	424	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_424_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_424_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	heart
