source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
ctrl_1	Homo sapiens	vitreous humor	not available	normal	ctrl	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	ERM_Case_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_2	Homo sapiens	vitreous humor	not available	normal	ctrl	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	ERM_Case_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
uveal_melanoma_1	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_2	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	2	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_3	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	3	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_4	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	4	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_5	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	5	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_6	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	6	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_7	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	7	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
uveal_melanoma_8	Homo sapiens	vitreous humor	not available	uveal melanoma	uveal_melanoma	8	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	2	UM_Case_8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	uveal_melanoma
