source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
0mM_PHOSPHO_0Mm	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	1	0mM_PHOSPHO_0Mm	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0mM_PHOSPHO_0Mm.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0mM_PHOSPHO_0Mm.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0.1mM_01_20130904_06	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	6	0.1mM_01_20130904_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0.1mM_01_20130904_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0.1mM_01_20130904_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0.1mMC_20140106_02	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	2	0.1mMC_20140106_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0.1mMC_20140106_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0.1mMC_20140106_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0.1mM_20130208_04	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	4	0.1mM_20130208_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0.1mM_20130208_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0.1mM_20130208_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10mM_PHOSPHO_10mM	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	1	10mM_PHOSPHO_10mM	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	10mM_PHOSPHO_10mM.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/10mM_PHOSPHO_10mM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0.1mMB_20131217_27	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	27	0.1mMB_20131217_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0.1mMB_20131217_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0.1mMB_20131217_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10mM_10_20130904_04	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	4	10mM_10_20130904_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	10mM_10_20130904_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/10mM_10_20130904_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
1mM_1_20130904_07	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	7	1mM_1_20130904_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1mM_1_20130904_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/1mM_1_20130904_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0mM_20130208_02	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	2	0mM_20130208_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0mM_20130208_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0mM_20130208_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0mM_20130719_01	paracoccidioides brasiliensis pb18	not available	not applicable	not available	enrichment of phosphorylated protein	1	0mM_20130719_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	0.025 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	0mM_20130719_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD001181/0mM_20130719_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
