source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters.1]	comment[modification parameters.2]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[label]	factor value[treatment]	factor value[time point]
Control	Mus musculus	not available	macrophage	1	cell culture	Control run 1	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_1.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	1	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	control	0 hours
Control	Mus musculus	not available	macrophage	1	cell culture	Control run 2	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_10.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	2	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	control	0 hours
Control	Mus musculus	not available	macrophage	1	cell culture	Control run 3	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_11.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	3	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	control	0 hours
Control	Mus musculus	not available	macrophage	1	cell culture	Control run 4	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_12.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	4	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	control	0 hours
LPS_1h	Mus musculus	not available	macrophage	1	cell culture	LPS_1h run 1	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_2.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	1	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	LPS	1 hour
LPS_1h	Mus musculus	not available	macrophage	1	cell culture	LPS_1h run 2	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_3.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	2	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	LPS	1 hour
LPS_1h	Mus musculus	not available	macrophage	1	cell culture	LPS_1h run 3	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_4.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	3	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	LPS	1 hour
LPS_4h	Mus musculus	not available	macrophage	1	cell culture	LPS_4h run 1	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_5.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	1	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	LPS	4 hours
LPS_4h	Mus musculus	not available	macrophage	1	cell culture	LPS_4h run 2	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_6.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	2	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	LPS	4 hours
LPS_4h	Mus musculus	not available	macrophage	1	cell culture	LPS_4h run 3	proteomic profiling by mass spectrometry	100706_KS1531_R15-5_7.RAW	NT=LTQ Orbitrap Velos;AC=MS:1000526	3	1	Higher energy collision dissociation	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=Unimod:4	NT=Oxidation;TA=M;MT=Variable;AC=Unimod:35	NT=Acetylation;PP=Protein N-term;MT=Variable;AC=Unimod:1	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification	LPS	4 hours
