source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	comment[ms1 scan range]	factor value[cell type]	factor value[treatment]
DBS05_delta_control1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_01_D1_1_4763	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_01_D1_1_4763.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_02_D1_1_4766	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_02_D1_1_4766.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_03_D1_1_4770	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_03_D1_1_4770.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_04_D1_1_4774	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_04_D1_1_4774.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_05_D1_1_4776	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_01_delta_control1_05_D1_1_4776.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_alpha_control1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_01_H1_1_4798	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_01_H1_1_4798.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_02_H1_1_4801	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_02_H1_1_4801.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_03_H1_1_4805	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_03_H1_1_4805.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_04_H1_1_4809	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_04_H1_1_4809.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_05_H1_1_4811	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_02_alpha_control1_05_H1_1_4811.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
