source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20240328_C34548_002_S650120_ZE-17MAR21-02-2_Group_21.indexed	20240328_C34548_002_S650120_ZE-17MAR21-02-2_Group_21.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_002_S650120_ZE-17MAR21-02-2_Group_21.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_002_S650120_ZE-17MAR21-02-2_Group_21.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30.indexed	20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30	20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_003_S650138_ZE-25MAY21-02-2_Group_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33.indexed	20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33	20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_004_S650143_ZE-28MAY21-02-1_Group_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_005_S650106_ZE-10MAY21-02-2_Group_14	20240328_C34548_005_S650106_ZE-10MAY21-02-2_Group_14	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_005_S650106_ZE-10MAY21-02-2_Group_14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_005_S650106_ZE-10MAY21-02-2_Group_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_006_S650109_ZE-12MAR21-02-1_Group_16.indexed	20240328_C34548_006_S650109_ZE-12MAR21-02-1_Group_16.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_006_S650109_ZE-12MAR21-02-1_Group_16.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_006_S650109_ZE-12MAR21-02-1_Group_16.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_008_S650122_ZE-19APR21-02-2_Group_22.indexed	20240328_C34548_008_S650122_ZE-19APR21-02-2_Group_22.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_008_S650122_ZE-19APR21-02-2_Group_22.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_008_S650122_ZE-19APR21-02-2_Group_22.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_009_S650104_ZE-10MAR21-02-2_Group_13	20240328_C34548_009_S650104_ZE-10MAR21-02-2_Group_13	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_009_S650104_ZE-10MAR21-02-2_Group_13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_009_S650104_ZE-10MAR21-02-2_Group_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_011_S650111_ZE-12MAY21-02-1_Group_17.indexed	20240328_C34548_011_S650111_ZE-12MAY21-02-1_Group_17.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_011_S650111_ZE-12MAY21-02-1_Group_17.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_011_S650111_ZE-12MAY21-02-1_Group_17.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2.indexed	20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2	20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_012_S650082_ZE-01APR21-02-2_Group_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_013_S650131_ZE-22MAR21-02-1_Group_27.indexed	20240328_C34548_013_S650131_ZE-22MAR21-02-1_Group_27.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_013_S650131_ZE-22MAR21-02-1_Group_27.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_013_S650131_ZE-22MAR21-02-1_Group_27.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_014r_S650142_ZE-28APR21-02-2_Group_32	20240328_C34548_014r_S650142_ZE-28APR21-02-2_Group_32	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_014r_S650142_ZE-28APR21-02-2_Group_32	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_014r_S650142_ZE-28APR21-02-2_Group_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_015_S650100_ZE-08MAR21-02-2_Group_11	20240328_C34548_015_S650100_ZE-08MAR21-02-2_Group_11	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_015_S650100_ZE-08MAR21-02-2_Group_11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_015_S650100_ZE-08MAR21-02-2_Group_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13.indexed	20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13	20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_016_S650103_ZE-10MAR21-02-1_Group_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20240328_C34548_017r_S650102_ZE-09APR21-02-2_Group_12.indexed	20240328_C34548_017r_S650102_ZE-09APR21-02-2_Group_12.indexed	Lake water metagenome	not available	not applicable	not available	Lake_Zurich_Bacterial_Integrated_Time_Series_LZ-BITS	not available	not available	not available	not available	not available	not available	1	20240328_C34548_017r_S650102_ZE-09APR21-02-2_Group_12.indexed	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20240328_C34548_017r_S650102_ZE-09APR21-02-2_Group_12.indexed.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
