source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
171004ito_no12_1	171004ito_no12_1	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no12_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no12_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no12_2	171004ito_no12_2	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no12_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no12_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no12_3	171004ito_no12_3	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no12_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no12_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no12_4	171004ito_no12_4	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no12_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no12_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no12_5	171004ito_no12_5	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no12_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no12_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no1_1	171004ito_no1_1	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no1_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no1_2	171004ito_no1_2	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no1_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no1_3	171004ito_no1_3	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no1_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no1_4	171004ito_no1_4	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no1_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
171004ito_no1_5	171004ito_no1_5	Homo sapiens	feces	not applicable	not available	human_feces_metaproteome_from_81_persons	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	171004ito_no1_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	171004ito_no1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
