source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
1405_SA_QTof_PH01-01_Pulp_TAILS_QC2	homo sapiens	Dental pulp	not applicable	not available	1	1405_SA_QTof_PH01-01_Pulp_TAILS_QC2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1405_SA_QTof_PH01-01_Pulp_TAILS_QC2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1405_SA_QTof_PH01-01_Pulp_TAILS_QC2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH05-02_Pulp_TAILS_2b.d.zip	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH05-02_Pulp_TAILS_2b.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH05-02_Pulp_TAILS_2b.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH05-02_Pulp_TAILS_2b.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1310_UE_QTof_PH00-01_Pulp_TAILS_QC3a.d.zip	homo sapiens	Dental pulp	not applicable	not available	1	1310_UE_QTof_PH00-01_Pulp_TAILS_QC3a.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1310_UE_QTof_PH00-01_Pulp_TAILS_QC3a.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1310_UE_QTof_PH00-01_Pulp_TAILS_QC3a.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH04-03_Pulp_preT_QC1a	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH04-03_Pulp_preT_QC1a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH04-03_Pulp_preT_QC1a.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH04-03_Pulp_preT_QC1a.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH05-03_Pulp_preT_QC1b	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH05-03_Pulp_preT_QC1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH05-03_Pulp_preT_QC1b.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH05-03_Pulp_preT_QC1b.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH05-02_Pulp_TAILS_QC2c	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH05-02_Pulp_TAILS_QC2c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH05-02_Pulp_TAILS_QC2c.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH05-02_Pulp_TAILS_QC2c.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH04-03_Pulp_TAILS_QC2c	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH04-03_Pulp_TAILS_QC2c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH04-03_Pulp_TAILS_QC2c.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH04-03_Pulp_TAILS_QC2c.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH05-02_Pulp_preT_QC1b	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH05-02_Pulp_preT_QC1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH05-02_Pulp_preT_QC1b.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH05-02_Pulp_preT_QC1b.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH04-03_Pulp_preT_QC1b	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH04-03_Pulp_preT_QC1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH04-03_Pulp_preT_QC1b.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH04-03_Pulp_preT_QC1b.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
1410_GM_QTof_PH05-02_Pulp_preT_QC1a	homo sapiens	Dental pulp	not applicable	not available	1	1410_GM_QTof_PH05-02_Pulp_preT_QC1a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=6520a quadrupole time-of-flight lc/ms;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.25 Da	34.0631 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1410_GM_QTof_PH05-02_Pulp_preT_QC1a.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002264/1410_GM_QTof_PH05-02_Pulp_preT_QC1a.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dental pulp
