source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
01023_B03_P009613_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_B03_P009613_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_B03_P009613_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_B03_P009613_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_B05_P009638_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_B05_P009638_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_B05_P009638_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_B05_P009638_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_D04_P009632_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_D04_P009632_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_D04_P009632_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_D04_P009632_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00544_G04_P004037_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00544_G04_P004037_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00544_G04_P004037_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00544_G04_P004037_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_B04_P009621_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_B04_P009621_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_B04_P009621_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_B04_P009621_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_H07_P007150_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_H07_P007150_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_H07_P007150_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_H07_P007150_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00959_A02_P008446_S00_U01_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00959_A02_P008446_S00_U01_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00959_A02_P008446_S00_U01_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00959_A02_P008446_S00_U01_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_E04_P009633_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_E04_P009633_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_E04_P009633_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_E04_P009633_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00599_A01_P004586_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00599_A01_P004586_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00599_A01_P004586_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00599_A01_P004586_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00926_G04_P008097_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00926_G04_P008097_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00926_G04_P008097_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00926_G04_P008097_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
