source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20131206-143441_002_TMTOGE1	homo sapiens	not available	not applicable	Disease free	1	20131206-143441_002_TMTOGE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20131206-143441_002_TMTOGE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/20131206-143441_002_TMTOGE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20131206-143441_011_TMTOGE1	homo sapiens	not available	not applicable	Disease free	1	20131206-143441_011_TMTOGE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20131206-143441_011_TMTOGE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/20131206-143441_011_TMTOGE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20131206-143441_006_TMTOGE1	homo sapiens	not available	not applicable	Disease free	1	20131206-143441_006_TMTOGE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20131206-143441_006_TMTOGE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/20131206-143441_006_TMTOGE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
A13-11104	homo sapiens	not available	not applicable	Disease free	1	A13-11104	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	A13-11104.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/A13-11104.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
A13-11096	homo sapiens	not available	not applicable	Disease free	1	A13-11096	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	A13-11096.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/A13-11096.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
A13-11093	homo sapiens	not available	not applicable	Disease free	1	A13-11093	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	A13-11093.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/A13-11093.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
A13-11098	homo sapiens	not available	not applicable	Disease free	1	A13-11098	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	A13-11098.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/A13-11098.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
A13-11106	homo sapiens	not available	not applicable	Disease free	1	A13-11106	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	A13-11106.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/A13-11106.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
A13-11101	homo sapiens	not available	not applicable	Disease free	1	A13-11101	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	A13-11101.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/A13-11101.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20131206-143441_001_TMTOGE1	homo sapiens	not available	not applicable	Disease free	1	20131206-143441_001_TMTOGE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20131206-143441_001_TMTOGE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD002021/20131206-143441_001_TMTOGE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
