source name	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F1_labelled_sites_01	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F1_labelled_sites_01	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F1_labelled_sites_01.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F1_labelled_sites_02	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F1_labelled_sites_02	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F1_labelled_sites_02.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F2_labelled_sites_02	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F2_labelled_sites_02	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F2_labelled_sites_02.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F2_labelled_sites_03	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F2_labelled_sites_03	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F2_labelled_sites_03.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F3_labelled_sites_03	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F3_labelled_sites_03	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F3_labelled_sites_03.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F3_labelled_sites_04	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F3_labelled_sites_04	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F3_labelled_sites_04.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F4_labelled_sites_04	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F4_labelled_sites_04	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F4_labelled_sites_04.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F4_labelled_sites_05	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F4_labelled_sites_05	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F4_labelled_sites_05.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F5_labelled_sites_06	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F5_labelled_sites_06	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F5_labelled_sites_06.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F5_labelled_sites_07	1	Homo sapiens	kidney	not available	not available	not available	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F5_labelled_sites_07	proteomic profiling by mass spectrometry	ASND01_KMK_YD1_240416_WBL_C03_A5_highpH_F5_labelled_sites_07.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	40.0 ppm	250.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=offset:257.12766;MT=Variable;PP=Anywhere;TA=CDEHKSTYNQR;MM=257.12766	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
