source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[non-return rate]
bull10_S01	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S01	proteomic profiling by mass spectrometry	1	Elite_170424_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	47.89%
bull10_S01	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S01.1	proteomic profiling by mass spectrometry	2	Elite_170424_188.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	47.89%
bull15_S02	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S02	proteomic profiling by mass spectrometry	1	Elite_170424_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	40.58%
bull15_S02	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S02.1	proteomic profiling by mass spectrometry	2	Elite_170424_177.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	40.58%
bull20_S03	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S03	proteomic profiling by mass spectrometry	1	Elite_170424_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	54.63%
bull20_S03	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S03.1	proteomic profiling by mass spectrometry	2	Elite_170424_178.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	54.63%
bull6_S04	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S04	proteomic profiling by mass spectrometry	1	Elite_170424_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	52.63%
bull6_S04	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S04.1	proteomic profiling by mass spectrometry	2	Elite_170424_155.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	52.63%
bull3_S05	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S05	proteomic profiling by mass spectrometry	1	Elite_170424_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	50.55%
bull3_S05	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S05.1	proteomic profiling by mass spectrometry	2	Elite_170424_118.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	50.55%
bull19_S06	Bos taurus	seminal plasma	not applicable	1	normal	adult	not available	male	S06	proteomic profiling by mass spectrometry	1	Elite_170424_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	3.5 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	35.23%
