source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD050458-Sample-1	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_C1_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_C1_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-2	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_C2_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_C2_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-3	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_C3_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_C3_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-4	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_C4_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_C4_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-5	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_C5_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_C5_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-6	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_F1_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_F1_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-7	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_F2_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_F2_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-8	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_F3_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_F3_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-9	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_F4_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_F4_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD050458-Sample-10	Rattus norvegicus	heart	not available	1	PLK105_EXPL_220913_FGU80_F5_3uL_Faims-DIA-Staggered_150M_120G	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK105_EXPL_220913_FGU80_F5_3uL_Faims-DIA-Staggered_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
