source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
ctrl_central_retina_1	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_central_retina	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	1	Ctrl_central.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_central_retina
ctrl_central_retina_2	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_central_retina	2	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	1	Ctrl_central_210707233021.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_central_retina
ctrl_central_retina_3	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_central_retina	3	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	1	Ctrl_central_210708013855.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_central_retina
ctrl_far_periphery_retina_1	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_far_periphery_retina	1	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	Ctrl_far.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_far_periphery_retina
ctrl_far_periphery_retina_2	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_far_periphery_retina	2	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	Ctrl_far_210708163854.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_far_periphery_retina
ctrl_far_periphery_retina_3	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_far_periphery_retina	3	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	Ctrl_far_210708184730.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_far_periphery_retina
ctrl_mid_periphery_retina_1	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_mid_periphery_retina	1	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	3	Ctrl_mid.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_mid_periphery_retina
ctrl_mid_periphery_retina_2	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_mid_periphery_retina	2	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	3	Ctrl_mid_210708080438.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_mid_periphery_retina
ctrl_mid_periphery_retina_3	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	normal	ctrl_mid_periphery_retina	3	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	3	Ctrl_mid_210708101315.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_mid_periphery_retina
myopia_central_retina_1	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=retina;AC=UBERON:0000966	not available	NT=myopia;AC=MONDO:0001384	myopia_central_retina	1	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	4	Myopia_central.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	myopia_central_retina
