source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20120506_Elite_SaZa_SA_CARCIN_Exp3_Pap_SCX-TiO2_FT_02	Mus musculus	Skin	not applicable	Skin cancer	2	20120506_Elite_SaZa_SA_CARCIN_Exp3_Pap_SCX-TiO2_FT_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120506_Elite_SaZa_SA_CARCIN_Exp3_Pap_SCX-TiO2_FT_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20120506_Elite_SaZa_SA_CARCIN_Exp3_Pap_SCX-TiO2_FT_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20091026_Velos3_SaZa_SA_CARCIN_Pap-SkinSILAC_InGel_16	Mus musculus	Skin	not applicable	Skin cancer	16	20091026_Velos3_SaZa_SA_CARCIN_Pap-SkinSILAC_InGel_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20091026_Velos3_SaZa_SA_CARCIN_Pap-SkinSILAC_InGel_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20091026_Velos3_SaZa_SA_CARCIN_Pap-SkinSILAC_InGel_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20120506_Elite_SaZa_SA_CARCIN_Exp3_TPA_SCX-TiO2_Fr_03	Mus musculus	Skin	not applicable	Skin cancer	3	20120506_Elite_SaZa_SA_CARCIN_Exp3_TPA_SCX-TiO2_Fr_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120506_Elite_SaZa_SA_CARCIN_Exp3_TPA_SCX-TiO2_Fr_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20120506_Elite_SaZa_SA_CARCIN_Exp3_TPA_SCX-TiO2_Fr_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20100203_Velos3_SaZa_SA_CARCIN_Exp2b_SCC-SILAC_SCX_01	Mus musculus	Skin	not applicable	Skin cancer	1	20100203_Velos3_SaZa_SA_CARCIN_Exp2b_SCC-SILAC_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20100203_Velos3_SaZa_SA_CARCIN_Exp2b_SCC-SILAC_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20100203_Velos3_SaZa_SA_CARCIN_Exp2b_SCC-SILAC_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20090913_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_02_ok	Mus musculus	Skin	not applicable	Skin cancer	1	20090913_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_02_ok	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20090913_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_02_ok.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20090913_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_02_ok.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20090918_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_FlTrh_03	Mus musculus	Skin	not applicable	Skin cancer	3	20090918_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_FlTrh_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20090918_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_FlTrh_03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20090918_Velos3_SaZa_SA_CARCIN_Exp1_PAP-SILAC_SCX_FlTrh_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20120427_Elite1_SaZa_SA_CARCIN_Exp3_InGel_TPA_08	Mus musculus	Skin	not applicable	Skin cancer	8	20120427_Elite1_SaZa_SA_CARCIN_Exp3_InGel_TPA_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120427_Elite1_SaZa_SA_CARCIN_Exp3_InGel_TPA_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20120427_Elite1_SaZa_SA_CARCIN_Exp3_InGel_TPA_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20091020_Velos3_SaZa_SA_CARCIN_SkinWT-SkinSILAC_InGel_12	Mus musculus	Skin	not applicable	Skin cancer	12	20091020_Velos3_SaZa_SA_CARCIN_SkinWT-SkinSILAC_InGel_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20091020_Velos3_SaZa_SA_CARCIN_SkinWT-SkinSILAC_InGel_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20091020_Velos3_SaZa_SA_CARCIN_SkinWT-SkinSILAC_InGel_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20091022_Velos3_SaZa_SA_CARCIN_SkinTPA-SkinSILAC_InGel_17	Mus musculus	Skin	not applicable	Skin cancer	17	20091022_Velos3_SaZa_SA_CARCIN_SkinTPA-SkinSILAC_InGel_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20091022_Velos3_SaZa_SA_CARCIN_SkinTPA-SkinSILAC_InGel_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20091022_Velos3_SaZa_SA_CARCIN_SkinTPA-SkinSILAC_InGel_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20090918_Velos3_SaZa_SA_CARCIN_Exp1_SkinTPA-SILAC_SCX_05	Mus musculus	Skin	not applicable	Skin cancer	5	20090918_Velos3_SaZa_SA_CARCIN_Exp1_SkinTPA-SILAC_SCX_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20090918_Velos3_SaZa_SA_CARCIN_Exp1_SkinTPA-SILAC_SCX_05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/03/PXD000821/20090918_Velos3_SaZa_SA_CARCIN_Exp1_SkinTPA-SILAC_SCX_05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
