source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
CPTAC_CompREF_00_iTRAQ_NiNTA_04b_26Mar12_Lynx_12-02-29	Homo sapiens	not available	not applicable	Breast cancer	29	CPTAC_CompREF_00_iTRAQ_NiNTA_04b_26Mar12_Lynx_12-02-29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_04b_26Mar12_Lynx_12-02-29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_04b_26Mar12_Lynx_12-02-29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_02b_25Mar12_Lynx_12-02-29	Homo sapiens	not available	not applicable	Breast cancer	29	CPTAC_CompREF_00_iTRAQ_NiNTA_02b_25Mar12_Lynx_12-02-29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_02b_25Mar12_Lynx_12-02-29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_02b_25Mar12_Lynx_12-02-29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_11b_26Mar12_Lynx_12-02-31	Homo sapiens	not available	not applicable	Breast cancer	31	CPTAC_CompREF_00_iTRAQ_NiNTA_11b_26Mar12_Lynx_12-02-31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_11b_26Mar12_Lynx_12-02-31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_11b_26Mar12_Lynx_12-02-31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_03b_26Mar12_Lynx_12-02-29	Homo sapiens	not available	not applicable	Breast cancer	29	CPTAC_CompREF_00_iTRAQ_NiNTA_03b_26Mar12_Lynx_12-02-29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_03b_26Mar12_Lynx_12-02-29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_03b_26Mar12_Lynx_12-02-29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_08b_26Mar12_Lynx_12-02-29	Homo sapiens	not available	not applicable	Breast cancer	29	CPTAC_CompREF_00_iTRAQ_NiNTA_08b_26Mar12_Lynx_12-02-29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_08b_26Mar12_Lynx_12-02-29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_08b_26Mar12_Lynx_12-02-29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_01b_22Mar12_Lynx_12-02-29	Homo sapiens	not available	not applicable	Breast cancer	29	CPTAC_CompREF_00_iTRAQ_NiNTA_01b_22Mar12_Lynx_12-02-29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_01b_22Mar12_Lynx_12-02-29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_01b_22Mar12_Lynx_12-02-29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompRef_00_iTRAQ_NiNTA_06_14Mar12_Lynx_12-02-31	Homo sapiens	not available	not applicable	Breast cancer	31	CPTAC_CompRef_00_iTRAQ_NiNTA_06_14Mar12_Lynx_12-02-31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompRef_00_iTRAQ_NiNTA_06_14Mar12_Lynx_12-02-31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompRef_00_iTRAQ_NiNTA_06_14Mar12_Lynx_12-02-31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_12b_26Mar12_Lynx_12-02-31	Homo sapiens	not available	not applicable	Breast cancer	31	CPTAC_CompREF_00_iTRAQ_NiNTA_12b_26Mar12_Lynx_12-02-31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_12b_26Mar12_Lynx_12-02-31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_12b_26Mar12_Lynx_12-02-31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_10b_26Mar12_Lynx_12-02-29	Homo sapiens	not available	not applicable	Breast cancer	29	CPTAC_CompREF_00_iTRAQ_NiNTA_10b_26Mar12_Lynx_12-02-29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_10b_26Mar12_Lynx_12-02-29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_10b_26Mar12_Lynx_12-02-29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CPTAC_CompREF_00_iTRAQ_NiNTA_05b_26Mar12_Lynx_12-02-31	Homo sapiens	not available	not applicable	Breast cancer	31	CPTAC_CompREF_00_iTRAQ_NiNTA_05b_26Mar12_Lynx_12-02-31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CPTAC_CompREF_00_iTRAQ_NiNTA_05b_26Mar12_Lynx_12-02-31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001000/CPTAC_CompREF_00_iTRAQ_NiNTA_05b_26Mar12_Lynx_12-02-31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
