source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[cell type]	characteristics[genotype]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	factor value[genotype]
Lbraz_wild_type_run1	Leishmania braziliensis	MHOM/BR/75/M2903	not applicable	promastigote	wild type	not applicable	1	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	10 ppm	0.60 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Ingel25306_KayselCruzA_WT.wiff	wild type
Lbraz_HA-tagged_PRMT1_run2	Leishmania braziliensis	MHOM/BR/75/M2903	not applicable	promastigote	HA-tagged PRMT1	not applicable	1	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	10 ppm	0.60 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Ingel25307_KayselCruzA_1.wiff	HA-tagged PRMT1
Lbraz_HA-tagged_PRMT3_run3	Leishmania braziliensis	MHOM/BR/75/M2903	not applicable	promastigote	HA-tagged PRMT3	not applicable	1	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	10 ppm	0.60 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Ingel25308_KayselCruzA_3.wiff	HA-tagged PRMT3
Lbraz_HA-tagged_PRMT5_run4	Leishmania braziliensis	MHOM/BR/75/M2903	not applicable	promastigote	HA-tagged PRMT5	not applicable	1	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	10 ppm	0.60 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Ingel25309_KayselCruzA_5.wiff	HA-tagged PRMT5
Lbraz_HA-tagged_PRMT6_run5	Leishmania braziliensis	MHOM/BR/75/M2903	not applicable	promastigote	HA-tagged PRMT6	not applicable	1	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	10 ppm	0.60 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Ingel25310_KayselCruzA_6.wiff	HA-tagged PRMT6
Lbraz_HA-tagged_PRMT7_run6	Leishmania braziliensis	MHOM/BR/75/M2903	not applicable	promastigote	HA-tagged PRMT7	not applicable	1	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	10 ppm	0.60 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Ingel25311_KayselCruzA_7.wiff	HA-tagged PRMT7
