source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PXD057493-sample-1	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	untreated	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	01_LiP_JA_11A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated
PXD057493-sample-2	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	untreated	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	02_LiP_JA_12A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated
PXD057493-sample-3	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	untreated	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	03_LiP_JA_13A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated
PXD057493-sample-4	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	untreated	4	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	04_LiP_JA_14A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated
PXD057493-sample-5	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	10 mM jasmonic acid treatment	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	05_LiP_JA_11B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 mM jasmonic acid treatment
PXD057493-sample-6	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	10 mM jasmonic acid treatment	2	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	06_LiP_JA_12B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 mM jasmonic acid treatment
PXD057493-sample-7	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	10 mM jasmonic acid treatment	3	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	07_LiP_JA_13B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 mM jasmonic acid treatment
PXD057493-sample-8	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	10 mM jasmonic acid treatment	4	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	08_LiP_JA_14B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 mM jasmonic acid treatment
PXD057493-sample-9	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	1 mM jasmonic acid treatment	1	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	09_LiP_JA_11C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	1 mM jasmonic acid treatment
PXD057493-sample-10	Solanum lycopersicum	hairy root culture	normal	not applicable	not available	Murashige and Skoog (MS) medium with vitamins and 3% (w/v) sucrose, 25 degree Celsius, 130 rpm shaking, 4 weeks culture	1 mM jasmonic acid treatment	2	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Oxidation;AC=UNIMOD:35;MT=Fixed;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	10_LiP_JA_12C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	1 mM jasmonic acid treatment
