source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[depletion]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[absorbed dose]	factor value[age group]	factor value[irradiation status]
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_19-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	1	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_20-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	2	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_21-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	3	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_22-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	4	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_23-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	5	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_24-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	6	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_25-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	7	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_26-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	8	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_27-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	9	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_28-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	10	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
