source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Ecl1_0362_R0113-01_S006159_L_W01_LFQ_01	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006159_L_W01_LFQ_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006159_L_W01_LFQ_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006149_L_W01_LFQ_02	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006149_L_W01_LFQ_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006149_L_W01_LFQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006155_L_W01_LFQ_02	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006155_L_W01_LFQ_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006155_L_W01_LFQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006151_L_W01_LFQ_02	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006151_L_W01_LFQ_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006151_L_W01_LFQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006154_L_W01_LFQ_02	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006154_L_W01_LFQ_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006154_L_W01_LFQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006150_L_W01_LFQ_02	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006150_L_W01_LFQ_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006150_L_W01_LFQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006156_L_W01_LFQ_01	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006156_L_W01_LFQ_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006156_L_W01_LFQ_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006158_L_W01_LFQ_01	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006158_L_W01_LFQ_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006158_L_W01_LFQ_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006152_L_W01_LFQ_02	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006152_L_W01_LFQ_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006152_L_W01_LFQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
Ecl1_0362_R0113-01_S006157_L_W01_LFQ_01	Homo sapiens	Cell culture	not available	not available	not available	1	Ecl1_0362_R0113-01_S006157_L_W01_LFQ_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	Ecl1_0362_R0113-01_S006157_L_W01_LFQ_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
