source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
110919HaCaT_pIC_1b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_pIC_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_pIC_1b.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_pIC_1b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_ctr2	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_ctr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_ctr2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_ctr2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110707hacat_polyIC1	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110707hacat_polyIC1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110707hacat_polyIC1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110707hacat_polyIC1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_t6	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_t6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_t6.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_t6.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_t3	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_t3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_t3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_t3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_CTR_2b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_CTR_2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_CTR_2b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_CTR_2b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_CTR_5a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_CTR_5a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_CTR_5a.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_CTR_5a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_ctr1	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_ctr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_ctr1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_ctr1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_t2	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_t2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_t2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_t2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_CTR_3a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_CTR_3a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_CTR_3a.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_CTR_3a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_pIC_3a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_pIC_3a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_pIC_3a.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_pIC_3a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_ctr4	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_ctr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_ctr4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_ctr4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_ctr3	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_ctr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_ctr3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_ctr3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_pIC_2a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_pIC_2a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_pIC_2a.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_pIC_2a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_t1	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_t1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_t1.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_t1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_ctr4	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_ctr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_ctr4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_ctr4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_polyIC6	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_polyIC6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_polyIC6.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_polyIC6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_ctr5	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_ctr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_ctr5.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_ctr5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_pIC_1a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_pIC_1a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_pIC_1a.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_pIC_1a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_CTR_1b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_CTR_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_CTR_1b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_CTR_1b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_pIC_3b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_pIC_3b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_pIC_3b.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_pIC_3b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_polyIC3	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_polyIC3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_polyIC3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_polyIC3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_polyIC2	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_polyIC2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_polyIC2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_polyIC2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_polyIC4	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_polyIC4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_polyIC4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_polyIC4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_pIC_6a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_pIC_6a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_pIC_6a.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_pIC_6a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_pIC_6b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_pIC_6b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_pIC_6b.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_pIC_6b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_pIC_2b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_pIC_2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_pIC_2b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_pIC_2b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
