source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
110917HaCaT_CTR_1a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_CTR_1a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_CTR_1a.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_CTR_1a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_ctr2	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_ctr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_ctr2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_ctr2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_ctr6	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_ctr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_ctr6.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_ctr6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_pIC_5b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_pIC_5b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_pIC_5b.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_pIC_5b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_CTR_4a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_CTR_4a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_CTR_4a.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_CTR_4a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_CTR_2a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_CTR_2a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_CTR_2a.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_CTR_2a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_CTR_6b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_CTR_6b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_CTR_6b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_CTR_6b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_ctr5	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_ctr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_ctr5.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_ctr5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_ctr6	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_ctr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_ctr6.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_ctr6.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_CTR_4b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_CTR_4b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_CTR_4b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_CTR_4b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
