source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[cultured cell]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
CONTROL_1	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	1	Diplonema papillatum	mtPrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	517-1WT.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
CONTROL_2	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	2	Diplonema papillatum	mtPrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	517-2WT.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
CONTROL_3	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	3	Diplonema papillatum	mtPrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	455-WT-E.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPS49_1	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	1	Diplonema papillatum	MRPS49-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	517-1S49.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPS49_2	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	2	Diplonema papillatum	MRPS49-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	604-49b.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPS49_3	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	3	Diplonema papillatum	MRPS49-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	604-49c.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPS63_1	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	1	Diplonema papillatum	MRPS63-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	517-1S63.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPS63_2	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	2	Diplonema papillatum	MRPS63-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	604-63b.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPS63_3	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	3	Diplonema papillatum	MRPS63-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	604-63c.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MRPL46_1	Diplonema papillatum	Mitochondrial mitoribosomes	ATCC 50162	not applicable	1	Diplonema papillatum	MRPL46-PrA	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	786-A.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
