source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
LF-2-2	LF-2-2	metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	China	Pu_erh_tea_rat_cecal_microbiota	cecal microbiota	1	LF-2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	LF-2-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
LF-3-2	LF-3-2	metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	China	Pu_erh_tea_rat_cecal_microbiota	cecal microbiota	1	LF-3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	LF-3-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
LF-1-3	LF-1-3	metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	China	Pu_erh_tea_rat_cecal_microbiota	cecal microbiota	1	LF-1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	LF-1-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
LF-2-1	LF-2-1	metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	China	Pu_erh_tea_rat_cecal_microbiota	cecal microbiota	1	LF-2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	LF-2-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
LF-1-1	LF-1-1	metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	China	Pu_erh_tea_rat_cecal_microbiota	cecal microbiota	1	LF-1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	LF-1-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
LF-3-3	LF-3-3	metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	China	Pu_erh_tea_rat_cecal_microbiota	cecal microbiota	1	LF-3-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	LF-3-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
