source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
1296_Morro_Grande_1	1296_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1296_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1296_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1297_Morro_Grande_1	1297_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1297_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1297_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1299_Morro_Grande_1	1299_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1299_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1299_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1300_Morro_Grande_1	1300_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1300_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1300_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1310_Morro_Grande_1	1310_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1310_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1310_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1320_Morro_Grande_1	1320_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1320_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1320_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1323_Morro_Grande_1	1323_Morro_Grande_1	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1323_Morro_Grande_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1323_Morro_Grande_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1337_Arroio_Tamarina_2	1337_Arroio_Tamarina_2	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1337_Arroio_Tamarina_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1337_Arroio_Tamarina_2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1340_Arroio_Tamarina_2	1340_Arroio_Tamarina_2	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1340_Arroio_Tamarina_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1340_Arroio_Tamarina_2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
1342_Arroio_Tamarina_2	1342_Arroio_Tamarina_2	Unidentified	not available	not applicable	not available	Di_Muro_et_al._2026_Culinary_diversity_in_early_modern_Brazil_revealed_by_residue_analysis_of_ceramic_artefacts	not available	not available	not available	not available	not available	not available	1	1342_Arroio_Tamarina_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1342_Arroio_Tamarina_2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
