source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	1	1	FEMALE_BREAST2_1.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	10	1	FEMALE_BREAST2_10.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	11	1	FEMALE_BREAST2_11.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	12	1	FEMALE_BREAST2_12.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	13	1	FEMALE_BREAST2_13.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	14	1	FEMALE_BREAST2_14.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	15	1	FEMALE_BREAST2_15.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	16	1	FEMALE_BREAST2_16.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	17	1	FEMALE_BREAST2_17.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
female_10.55y_breast	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=breast;AC=UBERON:0000310	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	10.55Y	female	not available	female_10.55y	tissue	1	female_breast_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL;AC=MS:1000854	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS-PAGE;AC=PRIDE:0000568	2.0 Da	1.0 Da	18	1	FEMALE_BREAST2_18.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=breast;AC=UBERON:0000310
