source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
CBP_2_1_C	drosophila melanogaster	Cell culture	not applicable	not available	1	CBP_2_1_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	CBP_2_1_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/CBP_2_1_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NAT9_1_1_A	drosophila melanogaster	Cell culture	not applicable	not available	1	NAT9_1_1_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	NAT9_1_1_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/NAT9_1_1_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
RPD3_1_1_A	drosophila melanogaster	Cell culture	not applicable	not available	1	RPD3_1_1_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	RPD3_1_1_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/RPD3_1_1_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
HAT1_3_B	drosophila melanogaster	Cell culture	not applicable	not available	1	HAT1_3_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	HAT1_3_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/HAT1_3_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NAT9_1_B	drosophila melanogaster	Cell culture	not applicable	not available	1	NAT9_1_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	NAT9_1_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/NAT9_1_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
MOF_1_2_A	drosophila melanogaster	Cell culture	not applicable	not available	1	MOF_1_2_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	MOF_1_2_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/MOF_1_2_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
HDAC4_1_B	drosophila melanogaster	Cell culture	not applicable	not available	1	HDAC4_1_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	HDAC4_1_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/HDAC4_1_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NAA10_2_C	drosophila melanogaster	Cell culture	not applicable	not available	1	NAA10_2_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	NAA10_2_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/NAA10_2_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
ctr_noRNA_1_1_C	drosophila melanogaster	Cell culture	not applicable	not available	1	ctr_noRNA_1_1_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	ctr_noRNA_1_1_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/ctr_noRNA_1_1_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
ELP3_2_B	drosophila melanogaster	Cell culture	not applicable	not available	1	ELP3_2_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	ELP3_2_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001394/ELP3_2_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
