source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PhosphoproteomeSF6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE8	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
