source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
sample 1	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	1	not available	resting	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115363.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	IgG IP
sample 2	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	2	not available	resting	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115364.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	IgG IP
sample 3	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	3	not available	resting	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115366.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	IgG IP
sample 4	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	1	not available	resting	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115367.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	MED12 IP
sample 5	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	2	not available	resting	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115369.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	MED12 IP
sample 6	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	3	not available	resting	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115370.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	MED12 IP
sample 7	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	2	not available	stimulated	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115373.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	IgG IP
sample 8	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	1	not available	stimulated	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115377.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	IgG IP
sample 9	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	3	not available	stimulated	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115380.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	IgG IP
sample 10	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	3	not available	stimulated	run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115385.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	MED12 IP
sample 11	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	1	not available	stimulated	run 11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115386.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	MED12 IP
sample 12	Homo sapiens	Blood	CD4+ T cells	normal	not available	not available	2	not available	stimulated	run 12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	lu115388.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	MED12 IP
