source name	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
240117_QE1_PM1_SK_MZ_ZG3145_1	1	Zobellia galactanivorans	not available	240117_QE1_PM1_SK_MZ_ZG3145_1	proteomic profiling by mass spectrometry	240117_QE1_PM1_SK_MZ_ZG3145_1.raw	1	ZgCgsA	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
240117_QE1_PM1_SK_MZ_ZG3146_6	1	Zobellia galactanivorans	not available	240117_QE1_PM1_SK_MZ_ZG3146_6	proteomic profiling by mass spectrometry	240117_QE1_PM1_SK_MZ_ZG3146_6.raw	1	ZgCgsB1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
240117_QE1_PM1_SK_MZ_ZG3151_7	1	Zobellia galactanivorans	not available	240117_QE1_PM1_SK_MZ_ZG3151_7	proteomic profiling by mass spectrometry	240117_QE1_PM1_SK_MZ_ZG3151_7.raw	1	ZgCgsC	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	40.0 ppm	5.0 ppm	NT=Trypsin/P;AC=MS:1001313	NT=Trypsin/P;AC=MS:1001313	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
