source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HOR1026-S14-A-27nonAu-L_Contr-M_27Au-H_WellB4	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S14-A-27nonAu-L_Contr-M_27Au-H_WellB4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S14-A-27nonAu-L_Contr-M_27Au-H_WellB4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S14-A-27nonAu-L_Contr-M_27Au-H_WellB4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S23-A-Contr-L_36Au-M_36nonAu-H_WellC4	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S23-A-Contr-L_36Au-M_36nonAu-H_WellC4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S23-A-Contr-L_36Au-M_36nonAu-H_WellC4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S23-A-Contr-L_36Au-M_36nonAu-H_WellC4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S02-A-27-AU-L_27-non-M_Contrl-H_WellA1	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S02-A-27-AU-L_27-non-M_Contrl-H_WellA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S02-A-27-AU-L_27-non-M_Contrl-H_WellA1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S02-A-27-AU-L_27-non-M_Contrl-H_WellA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S12-A-36-AU-L_36-non-M_Contrl-H_WellB2	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S12-A-36-AU-L_36-non-M_Contrl-H_WellB2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S12-A-36-AU-L_36-non-M_Contrl-H_WellB2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S12-A-36-AU-L_36-non-M_Contrl-H_WellB2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S04-A-Contr-L_27Au-M_27nonAu-H_WellA3	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S04-A-Contr-L_27Au-M_27nonAu-H_WellA3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S04-A-Contr-L_27Au-M_27nonAu-H_WellA3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S04-A-Contr-L_27Au-M_27nonAu-H_WellA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S21-A-Contr-L_36Au-M_36nonAu-H_WellC2	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S21-A-Contr-L_36Au-M_36nonAu-H_WellC2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S21-A-Contr-L_36Au-M_36nonAu-H_WellC2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S21-A-Contr-L_36Au-M_36nonAu-H_WellC2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S34-A-36nonAu-L_Contr-M_36Au-H_WellD6	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S34-A-36nonAu-L_Contr-M_36Au-H_WellD6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S34-A-36nonAu-L_Contr-M_36Au-H_WellD6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S34-A-36nonAu-L_Contr-M_36Au-H_WellD6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S24-A-Contr-L_36Au-M_36nonAu-H_WellC5	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S24-A-Contr-L_36Au-M_36nonAu-H_WellC5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S24-A-Contr-L_36Au-M_36nonAu-H_WellC5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S24-A-Contr-L_36Au-M_36nonAu-H_WellC5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S04-A-27-AU-L_27-non-M_Contrl-H_WellA3	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S04-A-27-AU-L_27-non-M_Contrl-H_WellA3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S04-A-27-AU-L_27-non-M_Contrl-H_WellA3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S04-A-27-AU-L_27-non-M_Contrl-H_WellA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S03-A-27-AU-L_27-non-M_Contrl-H_WellA2	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S03-A-27-AU-L_27-non-M_Contrl-H_WellA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S03-A-27-AU-L_27-non-M_Contrl-H_WellA2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S03-A-27-AU-L_27-non-M_Contrl-H_WellA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
