source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	factor value[source name]
MD55A3-SS-ifn_mg132-3	homo sapiens	cell culture	melanoma cell	3	melanoma	cell line	Interferon Gamma	Proteasome Inhibitor MG-132	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s3__.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-ifn_mg132-3
MD55A3-SS-mg132-3	homo sapiens	cell culture	melanoma cell	3	melanoma	cell line	Proteasome Inhibitor MG-132	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s3_mg.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-mg132-3
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	10	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	11	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	12	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	13	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	14	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	15	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
MD55A3-hpHRP-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	1	Ctrl1_s5_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	16	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	29 NCE	not available	20 ppm	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	not available	MD55A3-hpHRP-untreated-1
