source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	factor value[source name]
MD55A3-IFN-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	Interferon Gamma	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 1	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-IFN-1-500-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-IFN-1
MD55A3-IFN-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	Interferon Gamma	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 2	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-IFN-2-500-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-IFN-2
MD55A3-NT-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 3	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-NT1-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-NT-1
MD55A3-NT-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	untreated	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 4	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-NT2-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-NT-2
MD55A3-mTRP-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	tryptophan depletion	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 5	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-W-1-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-mTRP-1
MD55A3-mTRP-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	tryptophan depletion	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 6	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-W-2-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-mTRP-2
MD55A3-NT-3	homo sapiens	cell culture	melanoma cell	3	melanoma	cell line	untreated	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 7	proteomic profiling by mass spectrometry	1	QEP2_11290_YSA_412_1_060520.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-NT-3
MD55A3-NT-4	homo sapiens	cell culture	melanoma cell	4	melanoma	cell line	untreated	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 8	proteomic profiling by mass spectrometry	1	QEP2_11290_YSA_413_1_060520.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-NT-4
MD55A3-mTRP-3	homo sapiens	cell culture	melanoma cell	3	melanoma	cell line	tryptophan depletion	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 9	proteomic profiling by mass spectrometry	1	QEP2_11290_YSA_414_1_060520.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-mTRP-3
MD55A3-mTRP-4	homo sapiens	cell culture	melanoma cell	4	melanoma	cell line	tryptophan depletion	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:05;HLA-A*03:01;HLA-B*07:02;HLA-B*40:32;HLA-C*06:02;HLA-C*07:02	not available	W6/32	run 10	proteomic profiling by mass spectrometry	1	QEP2_11290_YSA_415_1_060520.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	not available	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	MD55A3-mTRP-4
