source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[quenching reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[complex state]
Human MRN-ATM DNA-bound complex	Homo sapiens	not applicable	not available	not applicable	1	not available	not available	in-gel digestion	30 A	120 min	not available	20230728_SFB1_SFB_CF_0003_hs_CX_NON_120_BS3_Gel_sHCD_253035	proteomic profiling by mass spectrometry	20230728_SFB1_SFB_CF_0003_hs_CX_NON_120_BS3_Gel_sHCD_253035.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD067324/20230728_SFB1_SFB_CF_0003_hs_CX_NON_120_BS3_Gel_sHCD_253035.raw	1	253035	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	5 ppm	6 ppm	in-gel digestion	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	Tris	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DNA-bound complex
Human MRN-ATM DNA-bound complex	Homo sapiens	not applicable	not available	not applicable	1	not available	not available	in-gel digestion	30 A	120 min	not available	20230728_SFB1_SFB_CF_0003_hs_CX_NON_120_BS3_Gel_sHCD_273033	proteomic profiling by mass spectrometry	20230728_SFB1_SFB_CF_0003_hs_CX_NON_120_BS3_Gel_sHCD_273033.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD067324/20230728_SFB1_SFB_CF_0003_hs_CX_NON_120_BS3_Gel_sHCD_273033.raw	2	273033	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	5 ppm	6 ppm	in-gel digestion	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	Tris	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DNA-bound complex
