source name	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
te241106_01_FAIMS	1	Homo sapiens	Epithelial cell	not available	not available	not available	te241106_01_FAIMS	proteomic profiling by mass spectrometry	te241106_01_FAIMS.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	40.0 ppm	15.0 ppm	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	control 1
te241106_02_FAIMS	1	Homo sapiens	Epithelial cell	not available	not available	not available	te241106_02_FAIMS	proteomic profiling by mass spectrometry	te241106_02_FAIMS.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	40.0 ppm	15.0 ppm	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	control 2
te241106_03_FAIMS	1	Homo sapiens	Epithelial cell	not available	not available	not available	te241106_03_FAIMS	proteomic profiling by mass spectrometry	te241106_03_FAIMS.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	40.0 ppm	15.0 ppm	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	control 3
te241106_04_FAIMS	1	Homo sapiens	Epithelial cell	not available	not available	not available	te241106_04_FAIMS	proteomic profiling by mass spectrometry	te241106_04_FAIMS.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	40.0 ppm	15.0 ppm	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	autophagy 1
te241106_05_FAIMS	1	Homo sapiens	Epithelial cell	not available	not available	not available	te241106_05_FAIMS	proteomic profiling by mass spectrometry	te241106_05_FAIMS.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	40.0 ppm	15.0 ppm	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	autophagy 2
te241106_06_FAIMS	1	Homo sapiens	Epithelial cell	not available	not available	not available	te241106_06_FAIMS	proteomic profiling by mass spectrometry	te241106_06_FAIMS.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	40.0 ppm	15.0 ppm	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	autophagy 3
