source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample1	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay1	proteomic profiling by mass spectrometry	1	26_SR_TO_HAEC_EVs_125ng_A8-BL_rerun.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample2	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay2	proteomic profiling by mass spectrometry	2	26_SR_TO_HAEC_EVs_125ng_A8-BL.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample3	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay3	proteomic profiling by mass spectrometry	3	26_SR_TO_HAEC_EVs_125ng_A1-A.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample4	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay4	proteomic profiling by mass spectrometry	4	26_MB_TranswellEC-EVs_4-CES-2_125ng.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample5	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay5	proteomic profiling by mass spectrometry	5	26_SR_TO_HAEC_EVs_125ng_Q1-BL.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample6	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay6	proteomic profiling by mass spectrometry	6	26_MB_TranswellEC-EVs_6-SES-1_125ng.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample7	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay7	proteomic profiling by mass spectrometry	7	26_SR_TO_HAEC_EVs_125ng_Q4-A.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample8	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay8	proteomic profiling by mass spectrometry	8	26_SR_TO_HAEC_EVs_125ng_Q5-BL.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample9	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay9	proteomic profiling by mass spectrometry	9	26_SR_TO_HAEC_EVs_125ng_Q4-BL.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample10	Homo sapiens	not applicable	not applicable	1	not available	not available	not available	not available	not available	Assay10	proteomic profiling by mass spectrometry	10	26_SR_TO_HAEC_EVs_125ng_A5-A.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=higher energy collision induced dissociation	10 ppm	0.02 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
