source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
PXD071055-sample-1	mus musculus	brain	not applicable	normal	1	adult	C57BL/6J	not available	RR_2_conc_Slot2-19_1_2009	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_2_conc_Slot2-19_1_2009.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	not applicable
PXD071055-sample-2	mus musculus	brain	not applicable	normal	2	adult	C57BL/6J	not available	RR_11_conc_Slot2-20_1_2011	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_11_conc_Slot2-20_1_2011.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	not applicable
PXD071055-sample-3	mus musculus	brain	not applicable	normal	3	adult	C57BL/6J	not available	RR_12_conc_Slot2-21_1_2013	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_12_conc_Slot2-21_1_2013.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	not applicable
PXD071055-sample-4	mus musculus	brain	neuron	normal	1	adult	C57BL/6J	not available	RR_7_Slot2-7_1_1912	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_7_Slot2-7_1_1912.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	neuron
PXD071055-sample-5	mus musculus	brain	neuron	normal	2	adult	C57BL/6J	not available	RR_13_Slot2-8_1_1914	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_13_Slot2-8_1_1914.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	neuron
PXD071055-sample-6	mus musculus	brain	neuron	normal	3	adult	C57BL/6J	not available	RR_17_Slot2-9_1_1916	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_17_Slot2-9_1_1916.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	neuron
PXD071055-sample-7	mus musculus	brain	microglial cell	normal	1	adult	C57BL/6J	not available	RR_8_Slot2-10_1_1900	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_8_Slot2-10_1_1900.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	microglial cell
PXD071055-sample-8	mus musculus	brain	microglial cell	normal	2	adult	C57BL/6J	not available	RR_14_Slot2-11_1_1902	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_14_Slot2-11_1_1902.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	microglial cell
PXD071055-sample-9	mus musculus	brain	microglial cell	normal	3	adult	C57BL/6J	not available	RR_18_Slot2-12_1_1904	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_18_Slot2-12_1_1904.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	microglial cell
PXD071055-sample-10	mus musculus	brain	astrocyte	normal	1	adult	C57BL/6J	not available	RR_9_conc_Slot2-28_1_1948	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF SCP;AC=MS:1003231	not available	NT=Trypsin;AC=MS:1001251	not available	1	1	RR_9_conc_Slot2-28_1_1948.d.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	astrocyte
