source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain]
d2983A	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2983A	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_1uL_21_Slot2-21_1_272	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_1uL_21_Slot2-21_1_272.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2983A
d1352	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d1352	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_01_Slot2-1_1_213	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_01_Slot2-1_1_213.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d1352
d0885	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d0885	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_02_Slot2-2_1_215	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_02_Slot2-2_1_215.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d0885
d0254A	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d0254A	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_03_Slot2-3_1_217	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_03_Slot2-3_1_217.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d0254A
d0695	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d0695	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_04_Slot2-4_1_219	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_04_Slot2-4_1_219.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d0695
dA0457A	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	dA0457A	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_05_Slot2-5_1_221	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_05_Slot2-5_1_221.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dA0457A
d2400	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2400	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_06_Slot2-6_1_223	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_06_Slot2-6_1_223.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2400
dA0089	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	dA0089	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_07_Slot2-7_1_225	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_07_Slot2-7_1_225.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dA0089
d1677	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d1677	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_08_Slot2-8_1_227	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_08_Slot2-8_1_227.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d1677
d1359	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d1359	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_09_Slot2-9_1_229	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_09_Slot2-9_1_229.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d1359
