source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F7982BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7982BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7982BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7982BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7272FD	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7272FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7272FD.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7272FD.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8383BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8383BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8383BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8383BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8375BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8375BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8375BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8375BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7427FD	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7427FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7427FD.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7427FD.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8004BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8004BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8004BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8004BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7638BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7638BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7638BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7638BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7981BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7981BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7981BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7981BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7639BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7639BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7639BL.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7639BL.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7396FD	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7396FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7396FD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7396FD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
