source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
09mar_DG_C11	09mar_DG_C11	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	09mar_DG_C11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	09mar_DG_C11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
09mar_DG_C13	09mar_DG_C13	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	09mar_DG_C13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	09mar_DG_C13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
09mar_DG_S100	09mar_DG_S100	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	09mar_DG_S100	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	09mar_DG_S100.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
09mar_DG_S102	09mar_DG_S102	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	09mar_DG_S102	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	09mar_DG_S102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
09mar_DG_S108	09mar_DG_S108	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	09mar_DG_S108	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	09mar_DG_S108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
09mar_DG_S55	09mar_DG_S55	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	09mar_DG_S55	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	09mar_DG_S55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
10mar_DG_C14	10mar_DG_C14	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	10mar_DG_C14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	10mar_DG_C14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
10mar_DG_C2	10mar_DG_C2	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	10mar_DG_C2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	10mar_DG_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
10mar_DG_S103	10mar_DG_S103	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	10mar_DG_S103	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	10mar_DG_S103.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
10mar_DG_S110	10mar_DG_S110	Homo sapiens	Saliva	not applicable	not available	Meta-omics_analysis_indicates_the_saliva_microbiome_and_its_proteins_associated_with_the_prognosis_of_oral_cancer_patients	Saliva	Saliva	not available	not available	not available	not available	1	10mar_DG_S110	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	10mar_DG_S110.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
