source name	characteristics[disease]	characteristics[developmental stage]	characteristics[organism part]	characteristics[organism]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[data file]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[developmental stage]
WT_21deg_rep1	normal	seedling	whole organism	Arabidopsis thaliana	1	PSB-960DDA_UPRC_3702E37548_1p_ih_PM7_1_rerun	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37548_1p_ih_PM7_1_rerun.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_21deg_rep2	normal	seedling	whole organism	Arabidopsis thaliana	2	PSB-960DDA_UPRC_3702E37556_1p_ih_PM7_2	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37556_1p_ih_PM7_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_21deg_rep3	normal	seedling	whole organism	Arabidopsis thaliana	3	PSB-960DDA_UPRC_3702E37568_1p_ih_PM7_3	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37568_1p_ih_PM7_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_21deg_rep4	normal	seedling	whole organism	Arabidopsis thaliana	4	PSB-960DDA_UPRC_3702E37582_1p_ih_PM7_4	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37582_1p_ih_PM7_4.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_35deg_rep1	normal	seedling	whole organism	Arabidopsis thaliana	1	PSB-960DDA_UPRC_3702E37552_1p_ih_PM7_5	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37552_1p_ih_PM7_5.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_35deg_rep2	normal	seedling	whole organism	Arabidopsis thaliana	2	PSB-960DDA_UPRC_3702E37560_1p_ih_PM7_6	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37560_1p_ih_PM7_6.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_35deg_rep3	normal	seedling	whole organism	Arabidopsis thaliana	3	PSB-960DDA_UPRC_3702E37572_1p_ih_PM7_7	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37572_1p_ih_PM7_7.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
WT_35deg_rep4	normal	seedling	whole organism	Arabidopsis thaliana	4	PSB-960DDA_UPRC_3702E37580_1p_ih_PM7_8	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37580_1p_ih_PM7_8.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
raf_35deg_rep1	normal	seedling	whole organism	Arabidopsis thaliana	1	PSB-960DDA_UPRC_3702E37550_1p_ih_PM7_9	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37550_1p_ih_PM7_9.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
raf_35deg_rep2	normal	seedling	whole organism	Arabidopsis thaliana	2	PSB-960DDA_UPRC_3702E37558_1p_ih_PM7_10	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37558_1p_ih_PM7_10.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
