source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[strain or breed]
CC-124_HL_rep1	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-124	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC124-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-124
CC-124_HL_rep2	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-124	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC124-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-124
CC-124_HL_rep3	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-124	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC124-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-124
CC-124_HL_rep4	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-124	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	4	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC124-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-124
CC-125_HL_rep1	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-125	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC125-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-125
CC-125_HL_rep2	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-125	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	2	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC125-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-125
CC-125_HL_rep3	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-125	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	3	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC125-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-125
CC-125_HL_rep4	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-125	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	4	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-CC125-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-125
CC-4375_HL_rep1	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-4375	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	1	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-WT-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-4375
CC-4375_HL_rep2	Chlamydomonas reinhardtii	not applicable	not applicable	whole organism	not applicable	not available	CC-4375	TP medium, photoautotrophic, 25C; 24 h high light (500 umol photons m-2 s-1)	2	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	GMM_20210510_HL-WT-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	CC-4375
