source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[cell culture]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[reduction reagent]	comment[alkylation reagent]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinking temperature]	comment[crosslinking reaction time]	comment[quenching reagent]	comment[enrichment process]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HEK293 Flp-In TC1 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible)	adult	1	untreated	210920_LU02_sabkeller_TC1_Mpos_DMSO	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	210920_LU02_sabkeller_TC1_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	DMSO
HEK293 Flp-In TC1 THA	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible); 10 µM Thalidomide treatment (4h)	adult	1	Thalidomide treatment	210920_LU02_sabkeller_TC1_Mpos_THA	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	210920_LU02_sabkeller_TC1_Mpos_THA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Thalidomide treatment
HEK293 Flp-In TC2 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible)	adult	2	untreated	210920_LU02_sabkeller_TC2_Mpos_DMSO	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	210920_LU02_sabkeller_TC2_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	DMSO
HEK293 Flp-In TC2 THA	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible); 10 µM Thalidomide treatment (4h)	adult	2	Thalidomide treatment	210920_LU02_sabkeller_TC2_Mpos_THA	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	210920_LU02_sabkeller_TC2_Mpos_THA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Thalidomide treatment
HEK293 Flp-In TC3 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible)	adult	3	untreated	210920_LU02_sabkeller_TC3_Mpos_DMSO	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	210920_LU02_sabkeller_TC3_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	DMSO
HEK293 Flp-In TC3 THA	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible); 10 µM Thalidomide treatment (4h)	adult	3	Thalidomide treatment	210920_LU02_sabkeller_TC3_Mpos_THA	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	210920_LU02_sabkeller_TC3_Mpos_THA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Thalidomide treatment
HEK293 Flp-In Lib DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible); pooled DMSO condition for spectral library generation	adult	pooled	untreated	211015_LU02_sabkeller_Lib_Mpos_DMSO	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	211015_LU02_sabkeller_Lib_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	not applicable
HEK293 Flp-In Lib THA	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% dialyzed fetal bovine serum (PAN Biotech); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction; 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); TurboID-CRBN Flp-In construct (doxycycline-inducible); 10 µM Thalidomide treatment (4h); pooled Thalidomide condition for spectral library generation	adult	pooled	Thalidomide treatment	211015_LU02_sabkeller_Lib_Mpos_THA	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002732;NT=Orbitrap Fusion Lumos	AC=MS:1001309;NT=Lys-C	NT=Trypsin/P;AC=MS:1001310	label free sample	1	1	TCEP	Iodoacetamide	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001;CL=no;TA=K;MH=138.068	streptavidin pull-down	5 mM	37 °C	30 min	Tris-HCl	enrichment of cross-linked peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	not available	not available	211015_LU02_sabkeller_Lib_Mpos_THA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	not applicable
