source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[carbon source]	characteristics[proteomics assay]	characteristics[strain]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[carbon source]	factor value[sampling time]
UPS2-calibrant-IS1_IS3	Homo sapiens	not applicable	not applicable	pooled	pooled	not applicable	not applicable	not applicable	not applicable	calibration standard	not applicable	161020_03_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2-SILAC light	proteomic profiling by mass spectrometry	1	161020_03_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
heavy-standard-IS1_IS3	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	calibration standard	CEN.PK113-7D LYS1::KanMX	161020_03_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2-SILAC heavy	proteomic profiling by mass spectrometry	1	161020_03_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
UPS2-calibrant-IS1_IS3	Homo sapiens	not applicable	not applicable	pooled	pooled	not applicable	not applicable	not applicable	not applicable	calibration standard	not applicable	161020_05_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2-SILAC light	proteomic profiling by mass spectrometry	2	161020_05_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
heavy-standard-IS1_IS3	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	calibration standard	CEN.PK113-7D LYS1::KanMX	161020_05_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2-SILAC heavy	proteomic profiling by mass spectrometry	2	161020_05_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
UPS2-calibrant-IS1_IS3	Homo sapiens	not applicable	not applicable	pooled	pooled	not applicable	not applicable	not applicable	not applicable	calibration standard	not applicable	161020_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2-SILAC light	proteomic profiling by mass spectrometry	3	161020_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
heavy-standard-IS1_IS3	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	calibration standard	CEN.PK113-7D LYS1::KanMX	161020_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2-SILAC heavy	proteomic profiling by mass spectrometry	3	161020_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS1_IS3_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
UPS2-calibrant-IS24	Homo sapiens	not applicable	not applicable	pooled	pooled	not applicable	not applicable	not applicable	not applicable	calibration standard	not applicable	161104_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2-SILAC light	proteomic profiling by mass spectrometry	1	161104_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
heavy-standard-IS24	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	calibration standard	CEN.PK113-7D LYS1::KanMX	161104_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2-SILAC heavy	proteomic profiling by mass spectrometry	1	161104_07_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
UPS2-calibrant-IS24	Homo sapiens	not applicable	not applicable	pooled	pooled	not applicable	not applicable	not applicable	not applicable	calibration standard	not applicable	161104_09_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2-SILAC light	proteomic profiling by mass spectrometry	2	161104_09_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
heavy-standard-IS24	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	calibration standard	CEN.PK113-7D LYS1::KanMX	161104_09_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2-SILAC heavy	proteomic profiling by mass spectrometry	2	161104_09_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
