source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
DKO_c08_DPPA2_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_DPPA2_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_27.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_DPPA4_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_DPPA4_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_31.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_IgGMs_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_IgGMs_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_IgGRb_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c08_IgGRb_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_DPPA2_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_DPPA2_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_28.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_DPPA4_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_DPPA4_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_32.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_IgGMs_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_IgGMs_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_IgGRb_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DKO_c14_IgGRb_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_24.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_DPPA2_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
