source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
C1_6_1400ng_140min_Run1_20220115170745.msf	C1_6_1400ng_140min_Run1_20220115170745.msf	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C1_6_1400ng_140min_Run1_20220115170745.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C1_6_1400ng_140min_Run1_20220115170745.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C1_6_1400ng_140min_Run1_20220115170745	C1_6_1400ng_140min_Run1_20220115170745	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C1_6_1400ng_140min_Run1_20220115170745	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C1_6_1400ng_140min_Run1_20220115170745.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C2_7_1400ng_140min_Run1.msf	C2_7_1400ng_140min_Run1.msf	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C2_7_1400ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C2_7_1400ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C2_7_1400ng_140min_Run1	C2_7_1400ng_140min_Run1	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C2_7_1400ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C2_7_1400ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C3_8_1400ng_140min_Run1.msf	C3_8_1400ng_140min_Run1.msf	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C3_8_1400ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C3_8_1400ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C3_8_1400ng_140min_Run1	C3_8_1400ng_140min_Run1	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C3_8_1400ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C3_8_1400ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C4_9_1400ng_140min_Run1.msf	C4_9_1400ng_140min_Run1.msf	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C4_9_1400ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C4_9_1400ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C4_9_1400ng_140min_Run1	C4_9_1400ng_140min_Run1	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C4_9_1400ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C4_9_1400ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C5_10_1400ng_140min_Run1.msf	C5_10_1400ng_140min_Run1.msf	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C5_10_1400ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C5_10_1400ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
C5_10_1400ng_140min_Run1	C5_10_1400ng_140min_Run1	Homo sapiens	Photosynthetic cell	not applicable	not available	Evaluation_of_transgenic_proteins_in_transformed_Camelina_sativa_leaves	Photosynthetic cell	Photosynthetic cell	7.6, 0.1	not available	not available	not available	1	C5_10_1400ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C5_10_1400ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Photosynthetic cell
