source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[developmental stage]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[treatment]
E03925_2_3704_Salma_notTreated	arabidopsis thaliana	cultured plant cell	cultured cell	1	normal	organism part	not applicable	logarithmic phase culture	dark-grown cell suspension culture (PSB-D), mid-log phase, 3-day-old cells in liquid medium	E03925_2_3704_Salma_notTreated.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001562/E03925_2_3704_Salma_notTreated.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=C;PP=Anywhere	NT=Dioxidation;AC=UNIMOD:425;MT=variable;TA=C;PP=Anywhere	NT=Trioxidation;AC=UNIMOD:345;MT=variable;TA=C;PP=Anywhere	NT=Gln->pyro-Glu;AC=UNIMOD:28;MT=variable;TA=Q;PP=Any N-term	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=orbitrap;AC=MS:1000484	400m/z-2000m/z	not applicable
E06178_1t_20_4269_SalmaAkter_treated	arabidopsis thaliana	cultured plant cell	cultured cell	1	normal	organism part	Hydrogen Peroxide	logarithmic phase culture	dark-grown cell suspension culture (PSB-D), mid-log phase, 3-day-old cells in liquid medium	E06178_1t_20_4269_SalmaAkter_treated.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001562/E06178_1t_20_4269_SalmaAkter_treated.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=C;PP=Anywhere	NT=Dioxidation;AC=UNIMOD:425;MT=variable;TA=C;PP=Anywhere	NT=Trioxidation;AC=UNIMOD:345;MT=variable;TA=C;PP=Anywhere	NT=Gln->pyro-Glu;AC=UNIMOD:28;MT=variable;TA=Q;PP=Any N-term	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=orbitrap;AC=MS:1000484	400m/z-2000m/z	Hydrogen Peroxide
E05163_1d_4020_Salma_Akter_with_H2O2	arabidopsis thaliana	cultured plant cell	cultured cell	2	normal	organism part	Hydrogen Peroxide	logarithmic phase culture	dark-grown cell suspension culture (PSB-D), mid-log phase, 3-day-old cells in liquid medium	E05163_1d_4020_Salma_Akter_with_H2O2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001562/E05163_1d_4020_Salma_Akter_with_H2O2.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=C;PP=Anywhere	NT=Dioxidation;AC=UNIMOD:425;MT=variable;TA=C;PP=Anywhere	NT=Trioxidation;AC=UNIMOD:345;MT=variable;TA=C;PP=Anywhere	NT=Gln->pyro-Glu;AC=UNIMOD:28;MT=variable;TA=Q;PP=Any N-term	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=orbitrap;AC=MS:1000484	400m/z-2000m/z	Hydrogen Peroxide
E05165_1d_4020_Salma_Akter_without_H2O2	arabidopsis thaliana	cultured plant cell	cultured cell	2	normal	organism part	not applicable	logarithmic phase culture	dark-grown cell suspension culture (PSB-D), mid-log phase, 3-day-old cells in liquid medium	E05165_1d_4020_Salma_Akter_without_H2O2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001562/E05165_1d_4020_Salma_Akter_without_H2O2.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=C;PP=Anywhere	NT=Dioxidation;AC=UNIMOD:425;MT=variable;TA=C;PP=Anywhere	NT=Trioxidation;AC=UNIMOD:345;MT=variable;TA=C;PP=Anywhere	NT=Gln->pyro-Glu;AC=UNIMOD:28;MT=variable;TA=Q;PP=Any N-term	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=orbitrap;AC=MS:1000484	400m/z-2000m/z	not applicable
E03927_2_3704_Salma_H2O2Treated	arabidopsis thaliana	cultured plant cell	cultured cell	3	normal	organism part	Hydrogen Peroxide	logarithmic phase culture	dark-grown cell suspension culture (PSB-D), mid-log phase, 3-day-old cells in liquid medium	E03927_2_3704_Salma_H2O2Treated.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001562/E03927_2_3704_Salma_H2O2Treated.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 mmu	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=C;PP=Anywhere	NT=Dioxidation;AC=UNIMOD:425;MT=variable;TA=C;PP=Anywhere	NT=Trioxidation;AC=UNIMOD:345;MT=variable;TA=C;PP=Anywhere	NT=Gln->pyro-Glu;AC=UNIMOD:28;MT=variable;TA=Q;PP=Any N-term	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term;PP=Protein N-term	NT=orbitrap;AC=MS:1000484	400m/z-2000m/z	Hydrogen Peroxide
