source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
131119_o1_10-so131105_dark-9	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	9	131119_o1_10-so131105_dark-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_10-so131105_dark-9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_10-so131105_dark-9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_05-so131105_dark-4	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	4	131119_o1_05-so131105_dark-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_05-so131105_dark-4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_05-so131105_dark-4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_09-so131105_dark-8	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	8	131119_o1_09-so131105_dark-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_09-so131105_dark-8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_09-so131105_dark-8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_04-so131105_dark-3	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	3	131119_o1_04-so131105_dark-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_04-so131105_dark-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_04-so131105_dark-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_21-so131105_dark-20	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	20	131119_o1_21-so131105_dark-20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_21-so131105_dark-20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_21-so131105_dark-20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_06-so131105_dark-5	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	5	131119_o1_06-so131105_dark-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_06-so131105_dark-5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_06-so131105_dark-5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_11-so131105_dark-10	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	10	131119_o1_11-so131105_dark-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_11-so131105_dark-10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_11-so131105_dark-10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_14-so131105_dark-13	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	13	131119_o1_14-so131105_dark-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_14-so131105_dark-13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_14-so131105_dark-13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_20-so131105_dark-19	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	19	131119_o1_20-so131105_dark-19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_20-so131105_dark-19.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_20-so131105_dark-19.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_02-so131105_dark-1	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	1	131119_o1_02-so131105_dark-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_02-so131105_dark-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_02-so131105_dark-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
