source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf annotation tool]	comment[sample preparation batch]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[cell type]
Xla_blastomere_cell_1	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_1	1	1	not available	run 1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_13_BS02_cell_1_ddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_1	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_1	1	1	not available	run 2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_13_BS03_cell_1_EcoddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_2	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_2	1	2	not available	run 3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS01_cell_2_ddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_2	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_2	1	2	not available	run 4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS02_cell_2_EcoddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_3	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_3	1	3	not available	run 5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS03_cell_3_ddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_3	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_3	1	3	not available	run 6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_18_BS02_cell_3_EcoddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_4	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_4	1	4	not available	run 7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS04_cell_4_ddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_4	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_4	1	4	not available	run 8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS05_cell_4_EcoddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_5	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_5	1	5	not available	run 9	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_17_BS03_cell_5_ddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_5	Xenopus laevis	animal hemisphere	blastula stage	blastoderm cell	normal	not available	not available	cell	single cell	manual picking	cell_5	1	5	not available	run 10	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_17_BS02_cell_5_EcoddaPASEF.d	pride-scp-sdrf v0.3.1	not available		v1.1.0	single-cell v1.0.0	NT=blastoderm cell;AC=CL:0000353
