source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
AL1952_N	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
AL1952_04	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
AL1952_05	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
AL1952_03	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
AL1952_postblank	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_postblank	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_postblank.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
AL1952_01	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
AL1952_02	Severe acute respiratory syndrome coronavirus 2	Cell culture	1	AL1952_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	AL1952_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
