source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230106_EMH_F1-1_Prot_200ng_FF_Rat3_Liver_7600_ZS_1_15	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	15	20230106_EMH_F1-1_Prot_200ng_FF_Rat3_Liver_7600_ZS_1_15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230106_EMH_F1-1_Prot_200ng_FF_Rat3_Liver_7600_ZS_1_15.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230106_EMH_F1-1_Prot_200ng_FF_Rat3_Liver_7600_ZS_1_15.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Brain_R1_7600_ZS_03	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	3	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Brain_R1_7600_ZS_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Brain_R1_7600_ZS_03.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Brain_R1_7600_ZS_03.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R1_7600_ZS_68	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	68	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R1_7600_ZS_68	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R1_7600_ZS_68.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R1_7600_ZS_68.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R3_7600_ZS_08	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	8	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R3_7600_ZS_08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R3_7600_ZS_08.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Kidney_R3_7600_ZS_08.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Brain_R1_7600_ZS_28	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	28	20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Brain_R1_7600_ZS_28	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Brain_R1_7600_ZS_28.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Brain_R1_7600_ZS_28.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230110_EMH_F1-1_Phos_2nd_FF_Rat2_Testis_R2_7600_ZS_64	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	64	20230110_EMH_F1-1_Phos_2nd_FF_Rat2_Testis_R2_7600_ZS_64	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FF_Rat2_Testis_R2_7600_ZS_64.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FF_Rat2_Testis_R2_7600_ZS_64.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230113_EMH_F1-1_Phos_1st_FF_Rat2_Testis_R3_7600_ZS_19	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	19	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Testis_R3_7600_ZS_19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Testis_R3_7600_ZS_19.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat2_Testis_R3_7600_ZS_19.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230113_EMH_F1-1_Phos_1st_FF_Rat2_Brain_R1_7600_ZS_61	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	61	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Brain_R1_7600_ZS_61	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Brain_R1_7600_ZS_61.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat2_Brain_R1_7600_ZS_61.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Liver_7600_ZS_1_18	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	18	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Liver_7600_ZS_1_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Liver_7600_ZS_1_18.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Liver_7600_ZS_1_18.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230110_EMH_F1-1_Phos_2nd_FF_Rat3_Liver_R1_7600_ZS_52	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	52	20230110_EMH_F1-1_Phos_2nd_FF_Rat3_Liver_R1_7600_ZS_52	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FF_Rat3_Liver_R1_7600_ZS_52.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FF_Rat3_Liver_R1_7600_ZS_52.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
