source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[FILL]
20191101_DD_0068_TiKoe_rep1_01	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_02	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_03	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_04	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_05	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_06	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_07	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_08	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_09	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
20191101_DD_0068_TiKoe_rep1_10	Cercopithecus aethiops	Cell culture	FILL:disease	FILL:biological replicate	20191101_DD_0068_TiKoe_rep1_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	FILL:cleavage agent details	1	1	20191101_DD_0068_TiKoe_rep1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
