source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
Mtr_MeOH_aerob_1	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_MeOH_aerob_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mtr_MeOH_comp_aerob_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_MeOH_aerob_2	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_MeOH_aerob_2	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	Mtr_MeOH_comp_aerob_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_MeOH_aerob_3	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_MeOH_aerob_3	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	Mtr_MeOH_comp_aerob_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_MeOH_anaerob_1	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_MeOH_anaerob_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mtr_MeOH_comp_anaerob_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_MeOH_anaerob_2	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_MeOH_anaerob_2	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	Mtr_MeOH_comp_anaerob_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_MeOH_anaerob_3	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_MeOH_anaerob_3	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	Mtr_MeOH_comp_anaerob_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_H2_aerob_1	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_H2_aerob_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mtr_H2_comp_aerob_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_H2_aerob_2	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_H2_aerob_2	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	Mtr_H2_comp_aerob_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_H2_aerob_3	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_H2_aerob_3	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	Mtr_H2_comp_aerob_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Mtr_H2_anaerob_1	Methanosarcina mazei	cell culture	culture cells	not applicable	1	Mtr_H2_anaerob_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mtr_H2_comp_anaerob_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
