source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay1	proteomic profiling by mass spectrometry	1	t03063_150210_mICA_CAH2h_BS3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay2	proteomic profiling by mass spectrometry	1	t03284_150218_Prtsm_2BS3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay3	proteomic profiling by mass spectrometry	1	t03074_150210_mICA_CAH2b_E8.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay4	proteomic profiling by mass spectrometry	1	z07964_170608_prtsm_100E8.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay5	proteomic profiling by mass spectrometry	1	t03067_150210_mICA_CAH2b_BS3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay6	proteomic profiling by mass spectrometry	1	t02632_150120_9mix_3hr_EEDC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay7	proteomic profiling by mass spectrometry	1	t02630_150120_9mix_3hr_EDC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay8	proteomic profiling by mass spectrometry	1	t03070_150210_mICA_CAH2h_E8.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay9	proteomic profiling by mass spectrometry	1	t03272_150218_Prtsm_150E.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Saccharomyces cerevisiae	not available	not available	1	not available	not applicable	not available	not available	not available	Assay10	proteomic profiling by mass spectrometry	1	t02636_150120_9mix_3hr_BS3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	not available	NT=ms-proteomics;VV=v1.1.0
