source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
MIAPaCa2_A0301_I_Immunopeptidomics_DMSO 1 HLA-I_discovery	Homo sapiens	pancreas	MIAPaCa2?	PDAC	not available	65Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2122	1	TTU_YS_22723_2122_05112024_11-7-2024_2943.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MIAPaCa2 A0301_I_Immunopeptidomics_DMSO 2 HLA-I_discovery	Homo sapiens	pancreas	MIAPaCa2?	PDAC	not available	65Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2123	1	TTU_YS_22723_2123_05112024_11-7-2024_2946.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MIAPaCa2 A0301_I_Immunopeptidomics_DMSO 3 HLA-I_discovery	Homo sapiens	pancreas	MIAPaCa2?	PDAC	not available	65Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2124	1	TTU_YS_22723_2124_05112024_11-7-2024_2944.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MIAPaCa2 A0301_I_Immunopeptidomics_CHEMO1 HLA-I_discovery	Homo sapiens	pancreas	MIAPaCa2?	PDAC	not available	65Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2125	1	TTU_YS_22723_2125_05112024_11-7-2024_2945.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MIAPaCa2 A0301_I_Immunopeptidomics_CHEMO 2 HLA-I_discovery	Homo sapiens	pancreas	MIAPaCa2?	PDAC	not available	65Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2126	1	TTU_YS_22723_2126_05112024_11-6-2024_2942.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
MIAPaCa2 A0301_I_Immunopeptidomics_CHEMO 3 HLA-I_discovery	Homo sapiens	pancreas	MIAPaCa2?	PDAC	not available	65Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2127	1	TTU_YS_22723_2127_05112024_11-6-2024_2941.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_PBS 1 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	70	1	TTU_YS_23515_Tumor_mouse_70-PBS_CONTROL-CLASS_I-1_06022025_2-6-2025_4091.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_PBS 2 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	71	1	TTU_YS_23515_Tumor_mouse_71-PBS_CONTROL-CLASS_I-2_06022025_2-6-2025_4096.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_PBS 3 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	72	1	TTU_YS_23515_Tumor_mouse_72-PBS_CONTROL-CLASS_I-3_06022025_2-6-2025_4094.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_PBS 4 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	73	1	TTU_YS_23515_Tumor_mouse_73-PBS_CONTROL-CLASS_I-4_06022025_2-7-2025_4098.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
