source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
11	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
9	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
8	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
7	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
1	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
6	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
5	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
3	bacillus amyloliquefaciens	not available	not applicable	not available	antibody enrichment	1	3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.02 Da	0.02 Da	30% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD003339/3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
